Title,Author,Edition,date,Reviews 1,Ratings 1 1,Genre,BookCategory,Price
Men Without Women: Stories,Haruki Murakami,Paperback,"Import, 27 Sep 2018",4.1,95,Action & Adventure (Books),Action & Adventure,304
Miraculous: Tales of Ladybug and Cat Noir: Spots on,ZAG Entertainment,Paperback,22 Nov 2016,5,1,Comics & Mangas (Books),Comics & Mangas,661
AB de Villiers - The Autobiography,A B de Villiers,Paperback,6 Sep 2016,4.6,234,Biographies & Autobiographies (Books),Sports,334
"The Complete Guide to Drones: (This is a book, NOT a drone) (Colouring for Mindfulness)",Adam Juniper,Paperback,12 Nov 2015,3.7,35,Computer Hardware & Handheld Devices (Books),"Arts, Film & Photography",543
Line on Fire: Ceasefire Violations and India–Pakistan Escalation Dynamics (Oxford International Relations in South Asia),Happymon Jacob,Hardcover,21 Jan 2019,5,3,Government (Books),Politics,721
Art: A World History,"Elke Linda Buchholz, Susanne Kaeppele, Karoline Hille, Irina Stotland, Gerhard Buhler",Paperback,"Unabridged, 1 Nov 2007",4.1,5,"Arts History, Theory & Criticism (Books)","Arts, Film & Photography",1643
South by Java Head,Alistair MacLean,Paperback,"Special Edition, 6 May 2008",4.4,7,Action & Adventure (Books),"Crime, Thriller & Mystery",309
Calypso,David Sedaris,Hardcover,20 Aug 2018,4,2,Biographies & Autobiographies (Books),Humour,854
Batman Eternal Vol. 2 (The New 52) (Batman Eternal: The New 52!),"Scott Snyder, Tim Seeley, Jason Fabok",Paperback,14 Jul 2015,5,4,Science & Mathematics,Humour,1799
Rafa: My Story,Rafael Nadal,Paperback,"International Edition, 7 Jun 2012",4.6,66,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",437
"50 Shooting Targets - Silhouette, Target or Bullseye: Great for All Firearms, Rifles, Pistols, Airsoft, Bb & Pellet Guns",Shooting Targets,Paperback,21 Dec 2016,5,1,Hunting (Books),Sports,409
The Little Book of More Calm Colouring: Portable Relaxation (Colouring Book),David Sinden,Paperback,14 Jan 2016,4.5,15,"Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography",239
The Growth Delusion: The Wealth and Well-Being of Nations,David Pilling,Paperback,18 Jan 2018,4.5,8,Inflation,Politics,374
The Lazy Girl's Guide to Being Fit,Namrata Purohit,Paperback,20 Jul 2015,3.2,20,Healthy Living & Wellness (Books),"Biographies, Diaries & True Accounts",199
Illusions : The Adventures of a Reluctant Messiah,Richard Bach,Paperback,12 Mar 2001,4.6,39,Religious & Spiritual Fiction (Books),"Biographies, Diaries & True Accounts",345
Privacy 3.0: Unlocking Our Data-Driven Future,Rahul Matthan,Hardcover,"Import, 5 Jul 2018",4.2,9,Law (Books),Politics,373
The Logic of English Words,Logophilia Education,Paperback,"Import, 29 May 2018",5,6,Vocabulary Books,"Language, Linguistics & Writing",400
The Tatas: How a Family Built a Business and a Nation,"Girish Kuber, Vikrant Pande",Hardcover,"Import, 25 Mar 2019",3.7,3,Asian History,"Biographies, Diaries & True Accounts",433
Alone on the Wall: Alex Honnold and the Ultimate Limits of Adventure,Alex Honnold,Hardcover,5 Nov 2015,4.8,7,Biographies & Autobiographies (Books),Sports,1477
"Calligraphy Practice Notebook: Upper and Lowercase Calligraphy Alphabet for Letter Practice, 60 Practice Pages, 30 Sheets Per Letter Case, Soft Durable Matte Cover; Classic","Calligraphy Book Practice, Calligraphy Paper",Paperback,20 Feb 2017,2.6,7,"Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography",499
Barefoot to Boots: The Many Lives of Indian Football,Novy Kapadia,Paperback,21 Sep 2017,4.9,12,Encyclopaedias & Reference Works (Books),Sports,262
AWS Certified Solutions Architect Official Study Guide: Associate Exam (Aws Certified Solutions Architect Official: Associate Exam),Joe Baron,Paperback,29 Nov 2016,4.1,171,IT Certification Exams,"Computing, Internet & Digital Media",2846
Coming Round the Mountain: In the Year of Independence,Ruskin Bond,Hardcover,19 May 2019,5,13,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",150
Indian Sign Language (Native American),William Tomkins,Paperback,1 Jun 1969,4,2,Sign Language Reference,Humour,350
Tim Cook,Leander Kahney,Paperback,2 May 2019,3.5,2,Engineering & Technology (Books),"Biographies, Diaries & True Accounts",434
On Photography (Penguin Modern Classics),Susan Sontag,Paperback,25 Sep 2008,4.5,9,"Arts History, Theory & Criticism (Books)","Arts, Film & Photography",423.24
Sap Hr Personnel Administration and Recruitment: Technical Reference and Learning Guide,Agrawal P.K,Paperback,2011,5,2,Business Communication,"Computing, Internet & Digital Media",449
Expert Pearson Test of English Academic B1 Standalone Coursebook,Lindsay Warwick,Paperback,"Student Edition, 14 Jun 2016",3.2,7,IELTS,"Language, Linguistics & Writing",510
A Girl to Remember,Ajay K Pandey,Paperback,28 Sep 2018,4.6,399,Indian Writing (Books),Romance,93
Over Seventy (Everyman's Library P G WODEHOUSE),P.G. Wodehouse,Hardcover,4 Sep 2014,5,1,Contemporary Fiction (Books),Humour,479
Revolutionary Road (Vintage Classics),Richard Yates,Paperback,1 Jan 2009,4,7,Romance (Books),Romance,115
Evil Under the Sun,Agatha Christie,Paperback,31 Jul 2019,4.5,42,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",319
Kung Fu Panda: Snake Attack! – Read it yourself with Ladybird – Level 3,Ladybird,Hardcover,1 Sep 2016,4,2,Children's Adventure (Books),"Language, Linguistics & Writing",74
The Art of People,Dave Kerpen,Paperback,10 Apr 2017,2.8,2,Business Communication,"Computing, Internet & Digital Media",399
"CompTIA A+ Certification All-in-One Exam Guide, Ninth Edition (Exams 220-901 & 220-902)",Mike Meyers,Hardcover,16 Jan 2016,5,2,Computer Hardware & Handheld Devices (Books),"Computing, Internet & Digital Media",3242
Fifty Shades Darker (Film Tie-In),E.L. James,Paperback,1 Feb 2017,4.2,142,Romance (Books),Romance,324.35
HBR's 10 Must Reads: On Innovation (Harvard Business Review Must Reads),HBR,Paperback,12 Mar 2013,3.4,4,Sports (Books),Sports,555
Penguin Book Of Hindu Names For Boys (Any Time Temptations Series),Maneka Gandhi,Paperback,16 Oct 2004,2.9,10,Hinduism (Books),"Biographies, Diaries & True Accounts",302
Khaiye Aur Vajan Ghataiye,Rujuta Diwekar,Paperback,13 Feb 2014,3.9,62,Indian Writing (Books),"Biographies, Diaries & True Accounts",200
David Beckham: My Side,David Beckham,Paperback,6 Sep 2004,4.1,3,Biographies & Autobiographies (Books),Sports,212
The Quintessential Quintuplets 3,Negi Haruba,Paperback,2019,5,1,Mangas,Comics & Mangas,685
"Thrills, Skills and Molehills: The Beautiful Game?",ChrisMD,Flexibound,"Import, 2018",5,1,"Children's Games, Toys & Activities (Books)",Sports,427
"Universal Principles of Design, Revised and Updated: 125 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach through Design",William Lidwell,Paperback,1 Jan 2010,4.5,15,Design,"Arts, Film & Photography",1099
Yoga for Runners,Lexie Williamson,Paperback,2015,5,5,Healthy Living & Wellness (Books),Sports,1453
Still William (Just William series),Richmal Crompton,Paperback,"Import, 14 Jan 2016",4.8,6,Action & Adventure (Books),Action & Adventure,190
Mortality,Christopher Hitchens,Paperback,13 Nov 2001,4.7,11,Society & Culture (Books),Humour,336
The Days are just Packed (A New Calvin and Hobbes Collection),Bill Watterson,Paperback,28 Oct 1993,4.7,20,Comics & Graphic Novels (Books),"Arts, Film & Photography",647
Color at Home: A Young House Love Coloring Book,Sherry Petersik,Paperback,4 Oct 2016,4.7,4,Design,Humour,320
The Piercing Bible: The Definitive Guide to Safe Body Piercing,Elayne Angel,Paperback,3 Mar 2009,5,1,Society & Culture (Books),"Arts, Film & Photography",899
Inferno (Robert Langdon),Dan Brown,Paperback,5 May 2014,4.3,839,Action & Adventure (Books),"Crime, Thriller & Mystery",235
The Sanjay Story,Vinod Mehta,Paperback,17 Jun 2015,3.9,47,Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",260
I Wrote This for You,Iain S. Thomas,Paperback,"Import, 2 Oct 2018",3.5,5,Action & Adventure (Books),Action & Adventure,620
Essential Urdu Dictionary: Learn Urdu with Teach Yourself,Timsal Masud,Paperback,19 Apr 2016,4,1,Dictionaries,"Language, Linguistics & Writing",599
Eleven Rings,Phil Jackson,Paperback,5 Feb 2015,4.3,3,Sports Training & Coaching (Books),Sports,449
Politics (Palgrave Foundations Series),Andrew Heywood,Paperback,27 Feb 2013,4.4,18,Government (Books),Politics,837
The Art of Spirited Away,Hayao Miyazaki,Hardcover,25 Aug 2002,5,1,Mangas,Comics & Mangas,1879
The 48 Laws Of Power (The Robert Greene Collection),Robert Greene,Paperback,20 Nov 2000,4.3,165,Political Theory (Books),Politics,547
Aisle be Damned,Rishi Piparaiya,Paperback,20 Oct 2013,3.7,30,Industries & Business Sectors (Books),Humour,199
IELTS Practice Tests: With Explanatory Key And CD Pack,Peter May,Paperback,Jan 2011,3.3,7,Linguistics (Books),"Language, Linguistics & Writing",549
Trinity Rock & Pop 2018 Drums Grade 1,Trinity College Lond,Sheet music,15 Sep 2017,4.2,5,Music Books,"Arts, Film & Photography",1059
Flash Boys,Michael Lewis,Paperback,28 May 2015,4.2,53,Investments & Securities,Politics,374
"The Adventures of Blake and Mortimer: Mystery of the Great Pyramid, Part 2 v. 3 (The Adventures of Blake & Mortimer)",Edgar P. Jacobs,Paperback,"Illustrated, 3 Jan 2008",3.7,3,Children's Historical Fiction (Books),Comics & Mangas,624
Cradle to Cradle (Patterns of Life),Michael Braungart,Paperback,29 Jan 2009,4,2,Sustainable Development,"Arts, Film & Photography",1045
Pahari Masters: Court Painters of Northern India,B.N. Goswamy,Hardcover,1 Apr 2009,5,1,Painting Textbooks,"Arts, Film & Photography",1625
"The Worldly Philosophers: The Lives, Times And Ideas Of The Great Economic Thinkers",Robert L. Heilbroner,Paperback,10 Aug 1999,4.5,6,Economic Theory,"Biographies, Diaries & True Accounts",815
The Anatomy of Story: 22 Steps to Becoming a Master Storyteller,John Truby,Paperback,14 Oct 2008,4.3,32,Writing Guides (Books),Humour,816
HBR's 10 Must Reads: On Communication (Harvard Business Review Must Reads),HBR,Paperback,26 Mar 2013,4.5,10,Business Communication,Sports,614
The Travel Gods Must Be Crazy: Wacky Encounters in Exotic Lands,Sudha Mahalingam,Paperback,25 Apr 2019,4.6,14,Budget Travel,Humour,180
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Paperback,28 Aug 2018,4.8,77,Biotechnology Engineering Textbooks,"Biographies, Diaries & True Accounts",397
Refreshing Mandala - Colouring Book for Adults Book 4,Dreamland Publications,Paperback,2017,4.3,16,"Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography",155
IIMA-Why I Am Paying More: Price Theory and Market Structures Made Simple,Satish Y. Deodhar,Paperback,10 Aug 2016,4,33,Sales,"Biographies, Diaries & True Accounts",303
internet of Things: A Hands-On Approach,"Arsheep Bahga, Vijay Madisetti",Paperback,2015,4.5,35,"Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media",459
A Time To Kill,John Grisham,Paperback,3 Dec 1992,4.2,37,Action & Adventure (Books),Action & Adventure,309
The Great Himalayan National Park,Sanjeeva Pandey & Anthony J Gaston,Hardcover,17 Dec 2018,4.6,3,Illustrated Travel Books (Books),Action & Adventure,1179.99
Monstress Volume 1: Awakening,"Marjorie Liu, Sana Takeda",Paperback,19 Jul 2016,3.7,4,Comics,Comics & Mangas,774
CCNA Routing and Switching 200-125 Official Cert Guide Library,Wendell Odom,Hardcover,8 Jul 2016,5,6,Networks & System Administration (Books),"Computing, Internet & Digital Media",3859
The Deadly Dozen: India's Most Notorious Serial Killers,Anirban Bhattacharya,Paperback,10 Jun 2019,5,8,True Accounts (Books),"Crime, Thriller & Mystery",209
High Performance MySQL,Schwartz Baron,Paperback,2012,4.8,10,"Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media",1600
The First Lady,James Patterson,Paperback,25 Dec 2018,4.5,2,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",372
Gray Hat Python – Python Programming for Hackers and Reverse Engineers,Justin Seitz,Paperback,23 Apr 2009,5,1,Programming Languages (Books),"Computing, Internet & Digital Media",2964
"Microservice Architecture: Aligning Principles, Practices, and Culture",Irakli Nadareishvili,Paperback,2016,3.9,9,Introductory & Beginning Programming,"Computing, Internet & Digital Media",325
Uncle Dynamite (Everyman's Library P G WODEHOUSE),P.G. Wodehouse,Hardcover,7 Sep 2006,5,6,Contemporary Fiction (Books),Humour,449
Moong over Microchips: Adventures of a Techie-Turned-Farmer,Venkat Iyer,Hardcover,"Import, 16 Mar 2018",4.6,54,Agriculture & Farming (Books),Politics,330
Development Administration in India,Anupama Puri Mahajan,Paperback,1 May 2019,5,1,Government (Books),Politics,450
Chess Openings for Kids: Featuring 50 Mighty Opening Systems (Chess for Schools),Graham Burgess,Hardcover,26 Apr 2011,5,2,"Children's Crafts, Hobbies & Practical Interests (Books)",Humour,1029
The Archie Wedding: Archie in Will You Marry Me? (The Married Life Series),Michael Uslan,Paperback,31 Mar 2010,3.7,6,Comics & Mangas (Books),Humour,375
The Power of Babel: A Natural History of Language,John McWhorter,Paperback,7 Jan 2003,4,1,Linguistics (Books),"Language, Linguistics & Writing",720
The Brothers Karamazov (Penguin Classics),Fyodor Dostoyevsky,Paperback,27 Feb 2003,4.3,35,Historical Fiction (Books),Romance,395
Poirot’s Early Cases,Agatha Christie,Paperback,30 Oct 2017,4.9,13,Short Stories (Books),"Crime, Thriller & Mystery",184
Calvin And Hobbes Volume 2: One Day the Wind Will Change: The Calvin & Hobbes Series,Bill Watterson,Paperback,23 Apr 1992,3.8,13,Comics & Graphic Novels (Books),Humour,283
My Diarrhe,Miranda Sings,Hardcover,22 Jul 2018,3,1,Biographies & Autobiographies (Books),Humour,449
The Modern Monk,Hindol Sengupta,Paperback,13 Jan 2017,4.3,28,Hinduism (Books),"Biographies, Diaries & True Accounts",299
Nutshell,Ian McEwan,Paperback,1 Jun 2017,3.7,7,Contemporary Fiction (Books),"Crime, Thriller & Mystery",299
Chess Middlegames Essential Knowledge (Cadogan Chess Books),"IU. Averbakh, K.P. Neat",Paperback,"Import, 5 Jul 1996",4.5,2,Sports Training & Coaching (Books),Sports,270
Out in the Sun (Key Words),Ladybird,Hardcover,18 Aug 2009,4.5,2,"Language, Linguistics & Writing (Books)","Language, Linguistics & Writing",61
End Game: A Richard and Judy Book Club Pick 2018 (Will Robie series),David Baldacci,Paperback,26 Jul 2018,3.7,23,"Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",184
My True Angel,Mr Irshad Thalakala,Paperback,"Import, 22 Mar 2018",4.2,50,Romance (Books),Romance,70
Long Walk to Freedom: Illustrated Children's edition (Picture Book Edition),Nelson Mandela,Paperback,"Abridged, Import",5,2,Action & Adventure (Books),Action & Adventure,418
How to Stay Alive,Bear Grylls,Paperback,10 Jan 2018,4.7,4,Biographies & Autobiographies (Books),Sports,395
Better English,Norman Lewis,Paperback,Apr 2011,4,197,GRE,"Language, Linguistics & Writing",179
"Pluto: Urasawa x Tezuka, Vol. 1",Naoki Urasawa,Paperback,17 Feb 2009,5,2,Mangas,Comics & Mangas,782
"Writing That Works, 3rd Edition: How to Communicate Effectively in Business",Kenneth Roman,Paperback,22 Aug 2000,3.5,4,Business Communication,"Language, Linguistics & Writing",475.44
Bossypants,Tina Fey,Paperback,5 Jan 2012,4,30,Biographies & Autobiographies (Books),Humour,403
The Stranger I Married (Historical Romance),Sylvia Day,Paperback,20 Dec 2012,5,1,Romance (Books),Romance,359
Kidnapped (Bantam Classics),Robert Louis Stevenson,Mass Market Paperback,1 Jan 1982,3.9,26,Literature,"Crime, Thriller & Mystery",114
The Garden of Words,Makoto Shinkai,Paperback,28 Oct 2014,4.7,5,Mangas,Comics & Mangas,639
The Hunting Party,Lucy Foley,Paperback,15 Feb 2019,4.4,3,Contemporary Fiction (Books),"Crime, Thriller & Mystery",247
Baaz,Anuja Chauhan,Paperback,1 May 2017,4.2,114,Action & Adventure (Books),Romance,210
The Reason is You,Nikita Singh,Paperback,"Import, 16 Feb 2019",3.7,32,Romance (Books),Romance,117
Learning Robotic Process Automation,Alok Mani Tripathi,Paperback,"Import, 1 Mar 2018",3.8,12,Software & Business Applications (Books),"Computing, Internet & Digital Media",1679
Key Words 6c: Reading with Sounds,Ladybird,Hardcover,2 Aug 2009,5,1,"Language, Linguistics & Writing (Books)","Language, Linguistics & Writing",73
Excel 2013 Bible,John Walkenbach,Paperback,"Unabridged, 5 Mar 2013",4.2,46,Software & Business Applications (Books),"Computing, Internet & Digital Media",2905
"Badami, Aihole, Pattadakal (Jaico/Deccan Heritage Foundation Guidebook)",George Michell,Paperback,15 Aug 2014,4.7,15,Travel (Books),"Arts, Film & Photography",344
Teach Your Kids to Code,Bryson Payne,Paperback,8 May 2015,5,1,Introductory & Beginning Programming,"Computing, Internet & Digital Media",1499
